Total Matches: 110
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/template-builder.tsx | LINE: 617 | MATCHES: ['#fff'] | CONTENT: .ait-btn--primary { color: #fff; background: linear-gradient(135deg, #2563eb, #0891b2); box-shadow: 0 1px 3px rgba(37, 99, 235, .26); }
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 613 | MATCHES: ['hsl(214 20% 94%)'] | CONTENT: <div key={dayIdx} style={{ borderLeft: dayIdx === 0 ? "none" : "1px solid hsl(214 20% 94%)", display: "flex", flexDirection: "column", position: "relative", background: isToday ? "var(--accent)" : "var(--card)" }}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 712 | MATCHES: ['#fff'] | CONTENT: {todayTasks.length > 0 && <span style={{ position: "absolute", top: -4, right: -4, background: "#2563eb", color: "#fff", fontSize: "0.6rem", fontWeight: 700, width: 18, height: 18, borderRadius: "50%", display: "flex", alignItems: "center", justifyContent: "center" }}>{todayTasks.length}</span>}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 717 | MATCHES: ['#fff'] | CONTENT: {drafts.length > 0 && <span style={{ position: "absolute", top: -4, right: -4, background: "hsl(222 14% 40%)", color: "#fff", fontSize: "0.6rem", fontWeight: 700, width: 18, height: 18, borderRadius: "50%", display: "flex", alignItems: "center", justifyContent: "center" }}>{drafts.length}</span>}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 729 | MATCHES: ['hsl(214 24% 94%)'] | CONTENT: <button onClick={() => setCollapsed(true)} style={{ width: 28, height: 28, borderRadius: 8, border: "none", background: "transparent", color: "var(--muted-foreground)", display: "flex", alignItems: "center", justifyContent: "center", cursor: "pointer" }} onMouseEnter={e => e.currentTarget.style.background = "hsl(214 24% 94%)"} onMouseLeave={e => e.currentTarget.style.background = "transparent"}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 744 | MATCHES: ['#fff'] | CONTENT: onFocus={e => { e.currentTarget.style.borderColor = "#2563eb"; e.currentTarget.style.background = "#fff"; e.currentTarget.style.boxShadow = "0 0 0 3px rgba(37,99,235,0.1)"; }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 745 | MATCHES: ['hsl(216 20% 98%)'] | CONTENT: onBlur={e => { e.currentTarget.style.borderColor = "var(--border)"; e.currentTarget.style.background = "hsl(216 20% 98%)"; e.currentTarget.style.boxShadow = "none"; }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 770 | MATCHES: ['hsl(214 20% 86%)'] | CONTENT: <div style={{ padding: "16px", borderRadius: 10, border: "1px dashed hsl(214 20% 86%)", textAlign: "center", fontSize: "0.8rem", color: "var(--muted-foreground)" }}>No tasks scheduled for today.</div>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 801 | MATCHES: ['hsl(221 90% 98%)', 'hsl(214 20% 86%)'] | CONTENT: style={{ minHeight: 100, borderRadius: 10, border: dropActive ? "2px dashed #2563eb" : "2px dashed hsl(214 20% 86%)", background: dropActive ? "hsl(221 90% 98%)" : "transparent", padding: 8, transition: "all 200ms", display: "flex", flexDirection: "column", gap: 8 }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 986 | MATCHES: ['hsl(214 20% 92%)'] | CONTENT: <div style={{ flex: 1, minWidth: 0, display: "flex", flexDirection: "column", overflow: "hidden", background: "var(--card)", margin: 16, borderRadius: 16, boxShadow: "0 4px 20px rgba(0,0,0,0.03)", border: "1px solid hsl(214 20% 92%)" }}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 989 | MATCHES: ['rgba(255,255,255'] | CONTENT: <div style={{ display: "flex", alignItems: "center", justifyContent: "space-between", padding: "16px 24px", borderBottom: "1px solid var(--border)", background: "rgba(255,255,255,0.8)", backdropFilter: "blur(12px)", zIndex: 10 }}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 992 | MATCHES: ['#fff', 'hsl(214 30% 96%)'] | CONTENT: <button onClick={prevPeriod} style={{ width: 32, height: 32, borderRadius: 8, border: "1px solid var(--border)", background: "var(--card)", display: "flex", alignItems: "center", justifyContent: "center", cursor: "pointer", transition: "all 150ms" }} onMouseEnter={e => e.currentTarget.style.background = "hsl(214 30% 96%)"} onMouseLeave={e => e.currentTarget.style.background = "#fff"}><ChevronLeft size={16} /></button>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 993 | MATCHES: ['#fff', 'hsl(214 30% 96%)'] | CONTENT: <button onClick={nextPeriod} style={{ width: 32, height: 32, borderRadius: 8, border: "1px solid var(--border)", background: "var(--card)", display: "flex", alignItems: "center", justifyContent: "center", cursor: "pointer", transition: "all 150ms" }} onMouseEnter={e => e.currentTarget.style.background = "hsl(214 30% 96%)"} onMouseLeave={e => e.currentTarget.style.background = "#fff"}><ChevronRight size={16} /></button>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 998 | MATCHES: ['#fff', 'hsl(214 30% 96%)'] | CONTENT: <button onClick={goToday} style={{ padding: "6px 14px", borderRadius: 8, border: "1px solid var(--border)", background: "var(--card)", color: "hsl(222 14% 30%)", fontSize: "0.8rem", fontWeight: 600, cursor: "pointer", transition: "all 150ms" }} onMouseEnter={e => e.currentTarget.style.background = "hsl(214 30% 96%)"} onMouseLeave={e => e.currentTarget.style.background = "#fff"}>Today</button>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 1006 | MATCHES: ['#fff'] | CONTENT: style={{ padding: "6px 16px", borderRadius: 8, border: "none", background: view === v ? "#fff" : "transparent", color: view === v ? "hsl(222 22% 14%)" : "hsl(222 14% 50%)", fontSize: "0.8rem", fontWeight: 600, cursor: "pointer", boxShadow: view === v ? "0 2px 8px rgba(0,0,0,0.06)" : "none", textTransform: "capitalize", transition: "all 150ms" }}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 1013 | MATCHES: ['#fff'] | CONTENT: style={{ display: "flex", alignItems: "center", gap: 6, padding: "8px 18px", borderRadius: 10, border: "none", background: "linear-gradient(135deg, #2563eb, #1d4ed8)", color: "#fff", fontSize: "0.85rem", fontWeight: 600, cursor: "pointer", boxShadow: "0 4px 12px rgba(37,99,235,0.25)", transition: "all 150ms" }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/notes/notes-client.tsx | LINE: 43 | MATCHES: ['bg-white'] | CONTENT: <div className="flex h-full w-full overflow-hidden bg-white">
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/notes/notes-client.tsx | LINE: 56 | MATCHES: ['bg-slate-50'] | CONTENT: <div className="w-16 h-16 mb-4 rounded-xl bg-slate-50 flex items-center justify-center border border-slate-100 shadow-sm">
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/pages/pages-workspace.tsx | LINE: 601 | MATCHES: ['border-slate-200', 'bg-white'] | CONTENT: <div className="flex-1 flex flex-col h-full overflow-hidden rounded-xl border border-slate-200 shadow-sm bg-white animate-fade-in-up">
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/whiteboard/actions.ts | LINE: 17 | MATCHES: ['#ffffff'] | CONTENT: viewBackgroundColor: "#ffffff",
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/components/dashboard/DashboardWorkspace.tsx | LINE: 147 | MATCHES: ['bg-gray-100'] | CONTENT: <span className="relative w-6 h-6 flex items-center justify-center rounded-full bg-gray-100 text-gray-700 text-[10px] font-bold">
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/components/dashboard/DashboardWorkspace.tsx | LINE: 452 | MATCHES: ['bg-white'] | CONTENT: <div key={i} className="flex items-center justify-between bg-white border border-gray-100 rounded-xl p-3.5 shadow-sm hover:shadow-md hover:-translate-y-0.5 transition-all duration-200">
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/components/dashboard/DashboardWorkspace.tsx | LINE: 459 | MATCHES: ['text-gray-900'] | CONTENT: <span className="text-base font-bold text-gray-900 ml-2 shrink-0">{stat.value}</span>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/components/dashboard/DashboardWorkspace.tsx | LINE: 504 | MATCHES: ['border-gray-200', 'bg-gray-50'] | CONTENT: <button className="px-3 py-1.5 border border-gray-200 rounded-lg text-xs font-semibold text-gray-700 hover:bg-gray-50 transition-colors" onClick={() => setActiveModal("task")}>Create task</button>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/components/dashboard/DashboardWorkspace.tsx | LINE: 529 | MATCHES: ['bg-white'] | CONTENT: <section className="flex items-center gap-4 mx-7 p-3.5 bg-white border border-gray-100 rounded-xl shadow-sm animate-slide-up">
